age,educ,rural,black,asian,mixed,nativeamer,disability,employed_ft,employed_pt,unemployed,overtime,student,married,female,occupation,logdailywage,dailywage
50,81,0,0,0,0,0,0,0,0,1,0,0,0,0,4,,
58,73,0,1,0,0,0,0,0,0,1,1,0,0,0,4,,
39,81,0,0,0,0,0,0,1,0,0,0,0,1,0,4,13.25893,57.31641
46,73,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13.8469,103.1886
51,111,0,1,0,0,0,0,1,0,0,0,0,1,0,2,14.03885,125.0246
34,81,0,0,0,0,0,0,0,0,1,0,0,1,0,4,,
55,73,0,0,0,0,0,0,1,0,0,0,0,1,0,1,13.76161,94.75218
44,60,0,0,0,0,0,0,0,0,1,0,0,0,0,4,,
20,73,0,0,0,0,0,0,0,0,1,0,1,0,0,4,,
22,111,0,0,0,0,0,1,0,1,0,0,1,0,0,2,,
27,81,1,0,0,0,0,0,1,0,0,0,0,0,0,5,11.22288,7.48232
51,123,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.61065,221.4742
43,81,1,0,0,0,0,0,1,0,0,0,0,1,0,5,13.42695,67.80325
50,123,0,0,0,0,0,0,0,1,0,0,0,1,0,1,14.53586,205.5161
55,10,0,0,0,0,0,0,1,0,0,0,0,1,0,3,13.54437,76.25105
57,125,0,0,1,0,0,0,1,0,0,0,0,1,0,1,14.51549,201.372
34,50,0,0,0,0,0,0,1,0,0,1,0,1,0,2,12.26896,21.29804
45,73,0,1,0,0,0,0,1,0,0,0,0,0,0,2,13.63201,83.23526
50,73,1,0,0,0,0,0,1,0,0,1,0,1,0,1,13.91781,110.7719
51,81,0,0,0,0,0,0,1,0,0,0,0,1,0,5,13.36028,63.43017
37,73,0,0,0,0,0,0,1,0,0,1,0,0,0,5,13.05389,46.6911
24,30,0,0,1,0,0,0,1,0,0,0,1,0,0,3,,
59,81,0,0,0,0,0,1,0,1,0,0,0,1,0,5,12.95981,42.49842
36,73,0,0,0,0,0,0,1,0,0,0,0,0,0,2,12.82061,36.97609
50,125,0,0,0,0,0,0,1,0,0,1,0,1,0,1,15.03028,336.9514
34,91,0,0,0,0,0,0,1,0,0,0,0,1,0,5,12.80172,36.28402
59,81,0,0,1,0,0,0,0,1,0,0,0,1,0,4,13.27448,58.21496
42,73,0,0,0,0,0,0,1,0,0,0,0,1,0,5,13.54931,76.62867
26,123,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11.73664,12.50712
43,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.2704,157.6002
40,111,0,0,0,0,0,0,1,0,0,1,0,0,0,2,13.53771,75.74466
55,81,0,0,1,0,0,0,0,1,0,0,0,1,0,5,13.60657,81.14398
42,73,0,0,0,0,0,0,1,0,0,1,0,1,0,5,13.87019,105.6203
32,40,0,0,0,0,0,0,0,1,0,0,0,1,0,4,11.8123,13.49014
21,81,0,0,0,0,0,0,1,0,0,0,1,0,0,4,,
41,73,0,0,0,0,0,0,1,0,0,0,0,1,0,3,12.72041,33.45051
53,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.59462,217.9521
41,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.00436,120.7856
41,73,0,0,0,0,0,0,1,0,0,0,0,1,0,3,13.37453,64.34064
41,111,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,
45,81,0,1,0,0,0,0,1,0,0,0,0,0,0,2,13.56714,78.00706
56,123,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.51667,201.6091
51,123,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.86222,284.8268
40,73,1,0,0,0,0,0,1,0,0,0,0,1,0,2,13.03795,45.9525
45,73,0,0,0,0,0,0,1,0,0,0,0,1,0,3,12.96427,42.6884
32,92,0,0,0,0,1,0,1,0,0,1,0,1,0,1,12.66473,31.63903
26,73,0,0,0,0,0,0,1,0,0,0,0,1,0,5,10.82954,5.049063
53,81,0,1,0,0,0,0,0,1,0,0,0,1,0,3,12.73063,33.79431
59,123,1,0,0,0,0,0,1,0,0,0,0,1,0,1,14.06917,128.8738
30,91,0,0,0,0,0,0,1,0,0,0,0,1,0,1,12.08343,17.69153
42,73,0,0,0,0,0,0,1,0,0,0,0,0,0,4,13.25864,57.30007
35,73,0,0,0,0,0,0,0,1,0,0,0,0,0,3,12.57066,28.79841
48,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.39593,178.678
31,111,0,0,0,0,0,0,1,0,0,0,0,1,0,1,12.82455,37.12202
25,111,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11.23505,7.573927
51,81,0,0,0,0,0,0,1,0,0,1,0,0,0,5,14.06651,128.5308
46,81,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14.28281,159.5679
51,73,0,0,0,0,0,0,1,0,0,1,0,0,0,4,13.5135,73.93304
42,73,0,1,0,0,0,0,1,0,0,0,0,0,0,2,13.22729,55.5313
51,92,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.10964,134.1959
51,73,0,0,0,0,0,0,1,0,0,0,0,1,0,4,13.81602,100.0512
50,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.38186,176.1825
42,30,0,0,0,0,0,0,0,1,0,0,0,1,0,2,13.29533,59.44161
51,111,1,0,0,0,0,0,1,0,0,1,0,1,0,1,14.24191,153.174
42,73,0,0,0,0,0,0,1,0,0,0,0,0,0,2,13.38683,65.13663
47,81,0,0,0,0,0,0,1,0,0,0,0,1,0,1,13.81287,99.7363
47,124,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14.63701,227.3902
33,125,0,1,0,0,0,0,1,0,0,0,0,1,0,1,13.40204,66.13501
20,71,0,0,0,0,0,0,0,0,1,0,1,0,0,1,,
37,123,0,0,0,0,0,0,1,0,0,1,0,1,0,3,13.31531,60.64099
59,73,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,
23,73,1,0,0,0,0,0,0,1,0,0,1,0,0,2,,
23,60,0,0,0,0,0,0,1,0,0,0,1,0,0,2,,
38,81,0,0,0,0,0,0,1,0,0,1,0,1,0,3,13.28593,58.88512
21,73,1,0,0,0,0,0,1,0,0,0,1,1,0,5,,
39,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,13.73922,92.65431
20,40,0,0,0,0,0,0,0,1,0,0,1,0,0,4,,
38,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,13.66988,86.44769
27,111,0,0,0,0,0,0,0,1,0,0,0,0,0,3,10.58594,3.957435
22,40,0,0,0,0,0,0,1,0,0,0,1,0,0,2,,
38,81,1,0,0,0,0,0,0,0,1,0,0,1,0,4,,
40,73,0,0,0,0,0,0,1,0,0,0,0,1,0,3,13.07965,47.90925
31,111,1,0,0,0,0,0,1,0,0,0,0,1,0,1,12.42429,24.87716
31,73,0,0,0,0,1,0,1,0,0,0,0,0,0,3,11.12517,6.785807
46,73,0,0,0,0,0,0,0,0,1,0,0,1,0,4,,
32,111,0,0,0,0,0,0,1,0,0,1,0,1,0,1,12.80404,36.3682
20,73,0,0,1,0,0,0,0,1,0,0,1,0,0,2,,
50,73,0,0,0,0,0,0,1,0,0,0,0,0,0,5,12.97165,43.00471
